molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c16h10_0pent_1,c1cc2ccc3cccc4ccc(c1)c2c34,-9.92,-7.49,2.429,0.0,-1071.561,-1059.424,-1076.882,5.458,5.414,5.36,-5.321,12.137,-0.856,4,0.0,0.3,-6.877,-0.895,5.98,7.921,-0.045
hc_c20h12_0pent_1,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-9.985,-7.376,2.609,0.03,-1332.703,-1320.673,-1338.075,6.696,6.641,6.588,-5.372,12.031,-1.137,5,0.0,0.315,-6.978,-0.749,6.236,7.768,-0.107
hc_c20h12_0pent_2,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-9.747,-7.687,2.059,0.029,-1332.607,-1320.852,-1338.317,6.687,6.652,6.601,-5.71,11.755,-1.122,5,0.096,0.447,-6.607,-1.149,5.454,7.37,-0.518
hc_c20h12_0pent_3,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-9.659,-7.771,1.888,0.0,-1332.484,-1320.813,-1338.273,6.687,6.657,6.606,-5.789,11.671,-1.136,5,0.219,0.495,-6.471,-1.257,5.211,7.249,-0.614
hc_c22h12_0pent_2,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c54,-9.586,-7.912,1.674,0.0,-1449.759,-1438.218,-1455.741,7.018,6.992,6.939,-5.982,11.541,-1.272,6,0.251,0.637,-6.357,-1.438,4.906,7.062,-0.849
hc_c22h12_0pent_3,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.853,-7.56,2.293,0.025,-1450.01,-1438.198,-1455.646,7.031,6.992,6.937,-5.635,11.813,-1.285,6,0.0,0.411,-6.772,-0.986,5.786,7.454,-0.427
hc_c24h12_0pent_1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-10.042,-7.348,2.694,0.0,-1567.429,-1555.508,-1572.92,7.37,7.273,7.152,-5.491,11.922,-1.437,7,0.0,0.418,-7.066,-0.713,6.356,7.611,-0.252
hc_c24h14_0pent_10,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,-9.685,-7.746,1.939,0.038,-1593.698,-1582.162,-1599.618,7.918,7.887,7.837,-5.92,11.536,-1.391,6,0.116,0.552,-6.511,-1.225,5.283,7.055,-0.774
hc_c24h14_0pent_4,c1ccc2cc3c(cc2c1)c1cccc2ccc4cccc3c4c21,-10.003,-7.384,2.619,0.04,-1593.763,-1581.94,-1599.34,7.92,7.853,7.786,-5.577,11.823,-1.394,6,0.051,0.442,-7.006,-0.759,6.25,7.468,-0.357
hc_c24h14_0pent_6,c1ccc2cc3c(cc2c1)cc1ccc2cccc4ccc3c1c24,-9.585,-7.887,1.698,0.037,-1593.595,-1582.173,-1599.669,7.909,7.883,7.832,-6.073,11.423,-1.376,6,0.219,0.665,-6.355,-1.406,4.941,6.892,-0.96
